raw_institution_name,occurrences,acao,tipo_sugerido,nome_canonico_sugerido,observacao
Sustainable AgriFoodtech Innovat & Res SAFIR,14,Revisão manual,provável centro/projeto/organização de pesquisa,Sustainable AgriFoodtech Innovation & Research (SAFIR),"Não encontrei correspondência pública confiável pelo nome abreviado; manter em revisão manual. Como aparece 14 vezes, pode ser cadastrado provisoriamente como organização/instituto com esse nome canônico e a variação bruta."
Embrapa Digital Agr,8,Adicionar variação,unidade de pesquisa,Embrapa Agricultura Digital,"Unidade da Embrapa em Campinas/SP. Adicionar variação ao cadastro canônico da unidade, não criar universidade."
Embrapa Agr Digital,4,Adicionar variação,unidade de pesquisa,Embrapa Agricultura Digital,Mesma correção de Embrapa Digital Agr.
Baker Heart & Diabet Inst,3,Cadastrar instituição/organização,instituto de pesquisa médica,Baker Heart and Diabetes Institute,"Melbourne, Victoria, Austrália; site: https://baker.edu.au. Não é universidade."
Ctr Energy & Environm Sustainabil,3,Revisão manual,centro/laboratório,Center/Centre for Energy and Environmental Sustainability,Nome muito genérico; falta instituição-mãe. Não cadastrar sem validar a afiliação completa.
Univ Fed Rio de Janeiro,3,Adicionar variação,universidade,Universidade Federal do Rio de Janeiro,Já existe como UFRJ no cadastro. Adicionar exatamente essa variação se ainda estiver faltando.
EMBRAPA,2,Adicionar variação,instituto/empresa pública de pesquisa,Empresa Brasileira de Pesquisa Agropecuária,Já existe cadastro de Embrapa. Adicionar EMBRAPA como variação direta do cadastro canônico da empresa pública.
Natl Inst Ind Engn NITIE,2,Atualizar/Adicionar variação,instituição de ensino superior,Indian Institute of Management Mumbai,"Antigo National Institute of Industrial Engineering (NITIE), atual IIM Mumbai. Adicionar variação e, se o cadastro estiver só como NITIE, corrigir/mesclar."
Int Ctr Agr Res Dry Areas ICARDA,2,Adicionar variação,instituto internacional de pesquisa,International Center for Agricultural Research in the Dry Areas,"ICARDA. Deve ser instituto de pesquisa/organização internacional, não universidade."
UNSW Canberra,2,Adicionar variação/unidade,campus/unidade,University of New South Wales,Campus Canberra da UNSW. Pode ser variação da UNSW ou unidade interna vinculada.
State Grid Qinghai Elect Power Co,2,Cadastrar organização,empresa estatal de energia,State Grid Qinghai Electric Power Company,Empresa/companhia de energia; não cadastrar como universidade.
Daegu Gyeongbuk Inst Sci & Technol DGIST,2,Atualizar/Adicionar variação,universidade/instituto de ciência e tecnologia,Daegu Gyeongbuk Institute of Science and Technology,"DGIST, Daegu, Coreia do Sul. Corrigir grafia duplicada existente e adicionar variação."
Embrapa,2,Adicionar variação,instituto/empresa pública de pesquisa,Empresa Brasileira de Pesquisa Agropecuária,Mesma regra de EMBRAPA.
Guys & St Thomas NHS Fdn Trust,2,Cadastrar organização,hospital/NHS trust,Guy's and St Thomas' NHS Foundation Trust,"London, Reino Unido. Organização hospitalar, não universidade."
Inst Nacl Invest Agr INIA,1,Revisão manual,instituto nacional de pesquisa agropecuária,Instituto Nacional de Investigación Agropecuaria (INIA),INIA é ambíguo entre países. Validar país na afiliação completa antes de cadastrar.
SEIDOR Consulting SL,1,Cadastrar organização,empresa privada/consultoria,SEIDOR Consulting S.L.,Espanha; empresa de consultoria/tecnologia. Não cadastrar como instituição acadêmica.
North Bristol NHS Trust,1,Cadastrar organização,hospital/NHS trust,North Bristol NHS Trust,"Bristol, Reino Unido. Organização hospitalar."
Ajna Consulting,1,Cadastrar organização/revisão,consultoria,Ajna Consulting,Nome comercial; cadastrar em organizações somente se a afiliação completa confirmar país/site.
Rosengren Epidemiol Consulting,1,Cadastrar organização/revisão,consultoria epidemiológica,Rosengren Epidemiology Consulting,Consultoria; não universidade. Validar país/site.
Natl Remote Sensing Ctr NRSC,1,Adicionar variação,centro governamental de pesquisa,National Remote Sensing Centre,"NRSC, centro da ISRO, Hyderabad, Índia. Adicionar variação."
Shanghai Key Lab Mech Energy Engn,1,Cadastrar unidade/revisão,laboratório,Shanghai Key Laboratory of Mechanics in Energy Engineering,"Provável laboratório chinês; precisa instituição-mãe na afiliação completa. Cadastrar como unidade, não instituição principal."
Geisinger Orthopaed & Sports Med,1,Cadastrar organização/unidade,hospital/clínica,Geisinger Orthopaedics and Sports Medicine,"Unidade/serviço do sistema Geisinger, EUA. Pode ser organização/unidade vinculada a Geisinger."
Essex Partnership NHS Fdn Trust,1,Cadastrar organização,hospital/NHS trust,Essex Partnership University NHS Foundation Trust,"Reino Unido. Hospital trust; não universidade, apesar de conter University no nome oficial."
Acacia Consulting,1,Cadastrar organização/revisão,consultoria,Acacia Consulting,Consultoria. Validar país/site.
